id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-77,DragBcon ,D0:B5:C2:CD:2D:E3,307.1755,ASUS_Z00AD,10-08-17 17:37
2,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:BD,355.0159,ASUS_Z00AD,10-08-17 17:37
3,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,1310.7933,ASUS_Z00AD,10-08-17 17:37
4,100,0,3,-81,DragBcon ,D0:B5:C2:CD:29:49,1843.7823,ASUS_Z00AD,10-08-17 17:37
5,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,2315.7386,ASUS_Z00AD,10-08-17 17:37
6,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,2363.9551,ASUS_Z00AD,10-08-17 17:37
7,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,2844.7366,ASUS_Z00AD,10-08-17 17:37
8,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,3322.3252,ASUS_Z00AD,10-08-17 17:37
9,100,0,3,-91,DragBcon ,D0:B5:C2:CD:2D:BD,3364.3656,ASUS_Z00AD,10-08-17 17:37
10,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,3849.1255,ASUS_Z00AD,10-08-17 17:37
11,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,4324.141,ASUS_Z00AD,10-08-17 17:37
12,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,4852.9948,ASUS_Z00AD,10-08-17 17:37
13,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,5334.7454,ASUS_Z00AD,10-08-17 17:37
14,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,5863.9216,ASUS_Z00AD,10-08-17 17:37
15,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,6334.715,ASUS_Z00AD,10-08-17 17:37
16,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,6861.0462,ASUS_Z00AD,10-08-17 17:37
17,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,7344.3033,ASUS_Z00AD,10-08-17 17:37
18,100,0,3,-85,DragBcon ,D0:B5:C2:CD:29:49,7873.9916,ASUS_Z00AD,10-08-17 17:37
19,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,8341.7482,ASUS_Z00AD,10-08-17 17:37
20,100,0,3,-85,DragBcon ,D0:B5:C2:CD:2D:BD,8390.585,ASUS_Z00AD,10-08-17 17:37
21,100,0,3,-85,DragBcon ,D0:B5:C2:CD:29:49,8877.8315,ASUS_Z00AD,10-08-17 17:37
22,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,9343.6093,ASUS_Z00AD,10-08-17 17:37
23,100,0,3,-88,DragBcon ,D0:B5:C2:CD:2D:BD,9388.4918,ASUS_Z00AD,10-08-17 17:37
24,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,9881.9542,ASUS_Z00AD,10-08-17 17:37
25,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,10342.5564,ASUS_Z00AD,10-08-17 17:37
26,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:BD,10403.6497,ASUS_Z00AD,10-08-17 17:37
27,100,0,3,-84,DragBcon ,D0:B5:C2:CD:29:49,10886.7444,ASUS_Z00AD,10-08-17 17:37
28,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,11345.1377,ASUS_Z00AD,10-08-17 17:37
29,100,0,3,-87,DragBcon ,D0:B5:C2:CD:2D:BD,11402.2406,ASUS_Z00AD,10-08-17 17:37
30,100,0,3,-84,DragBcon ,D0:B5:C2:CD:29:49,11887.5773,ASUS_Z00AD,10-08-17 17:37
31,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,12355.5783,ASUS_Z00AD,10-08-17 17:37
