id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,143.9887,ASUS_Z00AD,10-08-17 20:27
2,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,427.7532,ASUS_Z00AD,10-08-17 20:27
3,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:E3,441.8393,ASUS_Z00AD,10-08-17 20:27
4,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,1147.3855,ASUS_Z00AD,10-08-17 20:27
5,100,0,3,-64,DragBcon ,D0:B5:C2:CD:2D:BD,1393.7886,ASUS_Z00AD,10-08-17 20:27
6,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,1449.6006,ASUS_Z00AD,10-08-17 20:27
7,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,2162.4675,ASUS_Z00AD,10-08-17 20:27
8,100,0,3,-58,DragBcon ,D0:B5:C2:CD:2D:BD,2400.1959,ASUS_Z00AD,10-08-17 20:27
9,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,2446.6465,ASUS_Z00AD,10-08-17 20:27
10,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,3167.4578,ASUS_Z00AD,10-08-17 20:27
11,100,0,3,-61,DragBcon ,D0:B5:C2:CD:2D:BD,3405.8154,ASUS_Z00AD,10-08-17 20:27
12,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,3464.3642,ASUS_Z00AD,10-08-17 20:27
13,100,0,3,-77,DragBcon ,D0:B5:C2:CD:29:49,4173.1567,ASUS_Z00AD,10-08-17 20:27
14,100,0,3,-61,DragBcon ,D0:B5:C2:CD:2D:BD,4409.5741,ASUS_Z00AD,10-08-17 20:27
15,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,4457.6091,ASUS_Z00AD,10-08-17 20:27
16,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,5173.8801,ASUS_Z00AD,10-08-17 20:27
17,100,0,3,-61,DragBcon ,D0:B5:C2:CD:2D:BD,5413.8354,ASUS_Z00AD,10-08-17 20:27
18,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,5467.3231,ASUS_Z00AD,10-08-17 20:27
19,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,6178.4625,ASUS_Z00AD,10-08-17 20:27
20,100,0,3,-61,DragBcon ,D0:B5:C2:CD:2D:BD,6416.0119,ASUS_Z00AD,10-08-17 20:27
21,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:E3,6466.4977,ASUS_Z00AD,10-08-17 20:27
22,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,7180.8644,ASUS_Z00AD,10-08-17 20:27
23,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,7451.4357,ASUS_Z00AD,10-08-17 20:27
24,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,8184.363,ASUS_Z00AD,10-08-17 20:27
25,100,0,3,-62,DragBcon ,D0:B5:C2:CD:2D:BD,8422.1702,ASUS_Z00AD,10-08-17 20:27
26,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,8471.8047,ASUS_Z00AD,10-08-17 20:27
27,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,9190.4813,ASUS_Z00AD,10-08-17 20:27
28,100,0,3,-62,DragBcon ,D0:B5:C2:CD:2D:BD,9426.1588,ASUS_Z00AD,10-08-17 20:27
29,100,0,3,-77,DragBcon ,D0:B5:C2:CD:2D:E3,9477.002,ASUS_Z00AD,10-08-17 20:27
30,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,10198.9206,ASUS_Z00AD,10-08-17 20:27
31,100,0,3,-62,DragBcon ,D0:B5:C2:CD:2D:BD,10427.2829,ASUS_Z00AD,10-08-17 20:27
32,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:E3,10460.5844,ASUS_Z00AD,10-08-17 20:27
33,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,11199.5086,ASUS_Z00AD,10-08-17 20:27
34,100,0,3,-62,DragBcon ,D0:B5:C2:CD:2D:BD,11435.2547,ASUS_Z00AD,10-08-17 20:27
35,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:E3,11489.7087,ASUS_Z00AD,10-08-17 20:27
36,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,12201.4604,ASUS_Z00AD,10-08-17 20:27
37,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,12438.8308,ASUS_Z00AD,10-08-17 20:27
38,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,12490.1954,ASUS_Z00AD,10-08-17 20:27
39,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,13204.8603,ASUS_Z00AD,10-08-17 20:27
40,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,13444.7542,ASUS_Z00AD,10-08-17 20:27
41,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,13499.1984,ASUS_Z00AD,10-08-17 20:27
42,100,0,3,-75,DragBcon ,D0:B5:C2:CD:29:49,14206.8455,ASUS_Z00AD,10-08-17 20:27
43,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,14452.7867,ASUS_Z00AD,10-08-17 20:27
44,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,14492.8627,ASUS_Z00AD,10-08-17 20:27
45,100,0,3,-75,DragBcon ,D0:B5:C2:CD:29:49,15215.7823,ASUS_Z00AD,10-08-17 20:27
46,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,15460.8666,ASUS_Z00AD,10-08-17 20:27
47,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,15506.4755,ASUS_Z00AD,10-08-17 20:27
48,100,0,3,-75,DragBcon ,D0:B5:C2:CD:29:49,16222.2924,ASUS_Z00AD,10-08-17 20:27
49,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,16468.7519,ASUS_Z00AD,10-08-17 20:27
50,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,16508.2224,ASUS_Z00AD,10-08-17 20:27
51,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,17228.4798,ASUS_Z00AD,10-08-17 20:27
