-72,-70,-79
-74,-64,-75
-74,-58,-78
-77,-61,-78
-79,-61,-78
-78,-61,-79
-73,-62,-78
-73,-62,-77
-73,-62,-79
-73,-65,-78
-76,-65,-75
-75,-65,-74
-75,-61,-75
-78,-61,-78
-78,-61,-78
-78,-61,-78
-78,-61,-78
-73,-62,-79
-73,-62,-77
-74,-63,-78
-76,-65,-78
-75,-66,-74
-75,-65,-75
-78,-61,-78
-78,-62,-78
-79,-61,-78
-73,-61,-79
-73,-63,-79
-73,-63,-78
-75,-65,-78
-75,-66,-74
-75,-65,-75
-76,-66,-74
-78,-62,-75
-79,-62,-78
-78,-58,-79
-73,-58,-78
-73,-61,-79
-74,-63,-78
-73,-62,-79
-75,-62,-78
-75,-62,-78
-75,-66,-75
-79,-66,-75
-79,-66,-75
-77,-61,-79
-78,-61,-76
-78,-61,-79
-73,-61,-73
-73,-61,-77
-73,-63,-78
-73,-63,-78
-73,-63,-77
-75,-63,-77
-75,-66,-75
-75,-66,-75
-75,-65,-75
-79,-66,-75
-78,-66,-77
-78,-62,-78
-78,-58,-73
-73,-61,-77
-73,-63,-73
-73,-63,-77
-73,-63,-77
-75,-63,-74
-75,-66,-75
-75,-66,-74
-79,-66,-78
-78,-62,-78
-78,-62,-80
-78,-62,-78
-78,-62,-78
-74,-63,-78
-73,-63,-78
-73,-63,-79
-75,-65,-74
-75,-66,-74
-75,-66,-74
-78,-58,-79
-78,-62,-79
-78,-62,-79
-79,-62,-78
-73,-63,-79
-74,-63,-78
-75,-65,-76
-75,-65,-75
-78,-61,-75
-78,-61,-79
-77,-61,-79
-74,-63,-79
-74,-63,-79
-73,-63,-78
-73,-65,-78
-75,-66,-78
-75,-65,-75
-75,-65,-75
-75,-61,-74
-78,-61,-78
-73,-63,-78
-74,-63,-78
-73,-63,-80
-73,-63,-78
-73,-63,-78
-75,-65,-79
-75,-65,-78
-75,-65,-79
-75,-65,-75
-75,-65,-75
-78,-61,-74
-78,-61,-75
-73,-61,-79
-78,-61,-79
-74,-62,-79
-73,-63,-78
-73,-63,-78
-73,-63,-79
-74,-63,-78
-75,-65,-79
-75,-65,-78
-75,-66,-75
-75,-65,-74
-78,-61,-78
-79,-61,-78
-78,-63,-79
-74,-63,-78
-73,-62,-77
-73,-63,-78
-73,-65,-79
-75,-65,-79
-75,-65,-74
-75,-65,-74
-75,-65,-74
-75,-61,-74
-78,-61,-78
-78,-61,-78
-78,-61,-79
-78,-63,-79
-73,-62,-78
-73,-62,-78
-73,-63,-77
-74,-65,-78
-74,-65,-79
-75,-65,-75
-76,-65,-75
-75,-66,-75
-77,-61,-76
-80,-61,-78
-78,-61,-79
-73,-63,-78
-72,-63,-79
-76,-63,-79
-75,-65,-82
-75,-65,-79
-75,-66,-75
-79,-61,-74
-78,-61,-74
-79,-61,-74
-79,-61,-78
-80,-61,-77
-75,-62,-79
-75,-65,-77
-76,-65,-78
-77,-61,-75
-77,-61,-74
-77,-61,-74
-78,-61,-75
-73,-61,-79
-73,-63,-79
-73,-63,-78
-73,-63,-79
-76,-63,-79
-75,-65,-78
-75,-65,-79
-74,-65,-78
-75,-66,-77
-76,-66,-79
-84,-61,-75
-76,-61,-75
-74,-63,-69
-74,-63,-83
-74,-63,-77
-73,-62,-84
-73,-62,-79
-74,-66,-83
-75,-66,-79
-76,-65,-80
-78,-58,-74
-73,-61,-77
-74,-63,-76
-73,-63,-76
-75,-63,-77
-78,-65,-75
-78,-65,-75
-79,-61,-75
-78,-61,-74
-73,-61,-77
-73,-63,-77
-74,-63,-78
-73,-62,-78
-75,-63,-77
-75,-66,-75
-75,-66,-74
-78,-65,-74
-77,-61,-76
-78,-61,-77
-73,-61,-77
-73,-61,-78
-73,-62,-79
-73,-63,-78
-73,-63,-78
-75,-63,-74
-75,-65,-75
-75,-65,-75
-78,-65,-76
-78,-61,-77
-77,-61,-76
-74,-61,-78
-73,-63,-78
-73,-62,-79
-73,-63,-78
-74,-62,-74
-75,-65,-74
-78,-65,-78
-78,-65,-77
-79,-61,-76
-78,-62,-77
-73,-61,-77
-74,-61,-78
-74,-63,-78
-75,-63,-74
-76,-65,-75
-77,-65,-75
-77,-65,-77
-77,-61,-78
-78,-62,-77
-73,-62,-77
-73,-62,-78
-73,-63,-77
-74,-62,-78
-75,-65,-75
-75,-65,-75
-78,-65,-74
-74,-70,-75
-74,-64,-78
-77,-61,-78
-78,-61,-79
-79,-61,-78
-73,-62,-77
-73,-62,-79
-73,-65,-75
-75,-65,-74
-75,-65,-74
-75,-65,-75
-78,-61,-78
-78,-61,-78
-73,-62,-77
-73,-62,-77
-73,-63,-77
-74,-62,-78
-75,-65,-74
-75,-66,-75
-75,-65,-74
-78,-61,-78
-78,-61,-78
-73,-61,-79
-73,-61,-79
-73,-63,-78
-73,-63,-78
-74,-63,-78
-75,-63,-79
-75,-63,-78
-75,-65,-74
-76,-65,-74
-79,-66,-75
-78,-66,-75
-79,-62,-78
-73,-58,-78
-73,-58,-79
-74,-61,-78
-73,-62,-79
-75,-62,-78
-75,-62,-78
-76,-65,-75
-79,-66,-75
-79,-66,-75
-78,-61,-76
-78,-61,-79
-75,-63,-77
-75,-63,-75
-75,-66,-75
-75,-66,-75
-79,-65,-75
-78,-66,-77
-78,-66,-78
-73,-58,-73
-73,-62,-77
-73,-61,-73
-73,-63,-77
-75,-63,-74
-76,-66,-75
-75,-66,-75
-75,-66,-74
-79,-66,-78
-78,-62,-80
-78,-62,-78
-74,-58,-78
-73,-63,-78
-73,-63,-79
-75,-66,-74
-74,-66,-75
-75,-66,-74
-78,-66,-79
-78,-58,-79
-79,-62,-78
-73,-63,-78
-74,-63,-78
-73,-63,-77
-75,-63,-78
-75,-65,-76
-74,-65,-75
-75,-66,-75
-75,-65,-75
-78,-65,-75
-78,-61,-79
-78,-58,-79
-77,-61,-79
-73,-63,-78
-75,-65,-78
-78,-61,-75
-78,-61,-75
-78,-61,-78
-78,-61,-78
