id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-80,DragBcon ,D0:B5:C2:CD:2D:BD,977.7763,SM-T713,04-07-17 16:55
2,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,1956.5281,SM-T713,04-07-17 16:55
3,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,1968.3423,SM-T713,04-07-17 16:55
4,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:BD,2991.8226,SM-T713,04-07-17 16:55
5,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,3954.334,SM-T713,04-07-17 16:55
6,100,0,3,-83,DragBcon ,D0:B5:C2:CD:29:49,3994.4004,SM-T713,04-07-17 16:55
7,100,0,3,-86,DragBcon ,D0:B5:C2:CD:2D:BD,4003.3906,SM-T713,04-07-17 16:55
8,100,0,3,-83,DragBcon ,D0:B5:C2:CD:29:49,5001.2519,SM-T713,04-07-17 16:55
9,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:BD,5012.8893,SM-T713,04-07-17 16:55
10,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,6007.8737,SM-T713,04-07-17 16:55
11,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:BD,6015.5419,SM-T713,04-07-17 16:55
12,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,7004.9722,SM-T713,04-07-17 16:55
13,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:BD,7014.0752,SM-T713,04-07-17 16:55
14,100,0,3,-82,DragBcon ,D0:B5:C2:CD:2D:E3,7971.734,SM-T713,04-07-17 16:55
15,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,8019.822,SM-T713,04-07-17 16:55
16,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,8028.4867,SM-T713,04-07-17 16:55
17,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,9014.7045,SM-T713,04-07-17 16:55
18,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,9027.0969,SM-T713,04-07-17 16:55
19,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,10013.5161,SM-T713,04-07-17 16:55
20,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,10030.2551,SM-T713,04-07-17 16:55
21,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,10984.7281,SM-T713,04-07-17 16:55
22,100,0,3,-80,DragBcon ,D0:B5:C2:CD:29:49,11042.393,SM-T713,04-07-17 16:55
23,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:BD,11053.5882,SM-T713,04-07-17 16:55
24,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,11985.4837,SM-T713,04-07-17 16:55
25,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,12011.9113,SM-T713,04-07-17 16:55
26,100,0,3,-77,DragBcon ,D0:B5:C2:CD:2D:BD,12018.939,SM-T713,04-07-17 16:55
27,100,0,3,-82,DragBcon ,D0:B5:C2:CD:29:49,13044.252,SM-T713,04-07-17 16:55
28,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,13053.7343,SM-T713,04-07-17 16:55
29,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,14001.6409,SM-T713,04-07-17 16:55
30,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,14009.9244,SM-T713,04-07-17 16:55
31,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:BD,14035.6123,SM-T713,04-07-17 16:55
32,100,0,3,-85,DragBcon ,D0:B5:C2:CD:2D:E3,15007.5373,SM-T713,04-07-17 16:55
33,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,15044.2196,SM-T713,04-07-17 16:55
34,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,15053.3301,SM-T713,04-07-17 16:55
35,100,0,3,-83,DragBcon ,D0:B5:C2:CD:2D:E3,16017.5107,SM-T713,04-07-17 16:55
36,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,16065.1964,SM-T713,04-07-17 16:55
37,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,16074.9193,SM-T713,04-07-17 16:55
38,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:E3,17013.5796,SM-T713,04-07-17 16:55
39,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,17048.4643,SM-T713,04-07-17 16:55
40,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,17055.0553,SM-T713,04-07-17 16:55
41,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:E3,18020.9027,SM-T713,04-07-17 16:55
42,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,18052.753,SM-T713,04-07-17 16:55
43,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,18060.3438,SM-T713,04-07-17 16:55
44,100,0,3,-81,DragBcon ,D0:B5:C2:CD:2D:E3,19029.5062,SM-T713,04-07-17 16:55
45,100,0,3,-77,DragBcon ,D0:B5:C2:CD:29:49,19072.8282,SM-T713,04-07-17 16:55
46,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,19084.0287,SM-T713,04-07-17 16:55
47,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,20031.9128,SM-T713,04-07-17 16:55
48,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,20078.2257,SM-T713,04-07-17 16:55
49,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,21038.2347,SM-T713,04-07-17 16:55
50,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,21074.5356,SM-T713,04-07-17 16:55
51,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:BD,21082.6346,SM-T713,04-07-17 16:55
52,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,22039.6857,SM-T713,04-07-17 16:55
53,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,23081.084,SM-T713,04-07-17 16:55
54,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,23104.0564,SM-T713,04-07-17 16:55
55,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:BD,23127.121,SM-T713,04-07-17 16:55
56,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,24079.127,SM-T713,04-07-17 16:55
57,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,24085.8796,SM-T713,04-07-17 16:55
58,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,24092.3026,SM-T713,04-07-17 16:55
59,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:E3,25060.7988,SM-T713,04-07-17 16:55
60,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:BD,25092.9643,SM-T713,04-07-17 16:55
61,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,26076.8233,SM-T713,04-07-17 16:55
62,100,0,3,-83,DragBcon ,D0:B5:C2:CD:29:49,26088.3663,SM-T713,04-07-17 16:55
63,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,26096.6856,SM-T713,04-07-17 16:55
64,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,27081.1181,SM-T713,04-07-17 16:55
65,100,0,3,-88,DragBcon ,D0:B5:C2:CD:29:49,27091.0903,SM-T713,04-07-17 16:55
66,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,27102.4054,SM-T713,04-07-17 16:55
67,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,28080.6925,SM-T713,04-07-17 16:55
68,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,28089.9028,SM-T713,04-07-17 16:55
69,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,29102.5174,SM-T713,04-07-17 16:55
70,100,0,3,-82,DragBcon ,D0:B5:C2:CD:29:49,29114.4135,SM-T713,04-07-17 16:55
71,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,29121.8441,SM-T713,04-07-17 16:55
72,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,30098.6883,SM-T713,04-07-17 16:55
73,100,0,3,-83,DragBcon ,D0:B5:C2:CD:29:49,30105.1521,SM-T713,04-07-17 16:55
74,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,31105.0556,SM-T713,04-07-17 16:55
75,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,32105.9649,SM-T713,04-07-17 16:55
76,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,33113.3675,SM-T713,04-07-17 16:55
77,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:BD,33122.829,SM-T713,04-07-17 16:55
78,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,34109.423,SM-T713,04-07-17 16:55
79,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,34146.7308,SM-T713,04-07-17 16:55
80,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,35113.517,SM-T713,04-07-17 16:55
81,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,35124.8867,SM-T713,04-07-17 16:55
82,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,35132.6673,SM-T713,04-07-17 16:55
83,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,36121.5567,SM-T713,04-07-17 16:55
84,100,0,3,-84,DragBcon ,D0:B5:C2:CD:29:49,36131.4635,SM-T713,04-07-17 16:55
85,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:BD,36140.9431,SM-T713,04-07-17 16:55
86,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:E3,37123.8134,SM-T713,04-07-17 16:55
87,100,0,3,-80,DragBcon ,D0:B5:C2:CD:29:49,37132.7697,SM-T713,04-07-17 16:55
88,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:BD,37141.4029,SM-T713,04-07-17 16:55
89,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,38128.5335,SM-T713,04-07-17 16:55
90,100,0,3,-77,DragBcon ,D0:B5:C2:CD:29:49,38144.0875,SM-T713,04-07-17 16:55
91,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,38151.2444,SM-T713,04-07-17 16:55
92,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,39130.8361,SM-T713,04-07-17 16:55
93,100,0,3,-83,DragBcon ,D0:B5:C2:CD:29:49,39142.3935,SM-T713,04-07-17 16:55
94,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,39164.5588,SM-T713,04-07-17 16:55
95,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:E3,40129.5215,SM-T713,04-07-17 16:55
96,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,40161.1884,SM-T713,04-07-17 16:55
97,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:E3,41143.4373,SM-T713,04-07-17 16:55
98,100,0,3,-81,DragBcon ,D0:B5:C2:CD:2D:BD,41172.1132,SM-T713,04-07-17 16:55
99,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:E3,42156.6802,SM-T713,04-07-17 16:55
100,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:BD,42164.3865,SM-T713,04-07-17 16:55
101,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,43161.9795,SM-T713,04-07-17 16:55
102,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,43168.3911,SM-T713,04-07-17 16:55
103,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,43174.907,SM-T713,04-07-17 16:55
104,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,44148.0071,SM-T713,04-07-17 16:55
105,100,0,3,-80,DragBcon ,D0:B5:C2:CD:29:49,44162.555,SM-T713,04-07-17 16:55
106,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,44184.8079,SM-T713,04-07-17 16:55
107,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:E3,45154.4975,SM-T713,04-07-17 16:55
108,100,0,3,-79,DragBcon ,D0:B5:C2:CD:29:49,45169.1607,SM-T713,04-07-17 16:55
109,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:BD,45190.3739,SM-T713,04-07-17 16:55
110,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,46165.6202,SM-T713,04-07-17 16:55
111,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,46174.4888,SM-T713,04-07-17 16:55
