id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-74,DragBcon ,D0:B5:C2:CD:29:49,235.7424,SM-T713,04-07-17 17:01
2,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,339.3554,SM-T713,04-07-17 17:01
3,100,0,3,-77,DragBcon ,D0:B5:C2:CD:2D:BD,378.5784,SM-T713,04-07-17 17:01
4,100,0,3,-71,DragBcon ,D0:B5:C2:CD:29:49,1239.4986,SM-T713,04-07-17 17:01
5,100,0,3,-80,DragBcon ,D0:B5:C2:CD:2D:E3,1341.0914,SM-T713,04-07-17 17:01
6,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,1375.9858,SM-T713,04-07-17 17:01
7,100,0,3,-68,DragBcon ,D0:B5:C2:CD:29:49,2262.5061,SM-T713,04-07-17 17:01
8,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,2378.8837,SM-T713,04-07-17 17:01
9,100,0,3,-66,DragBcon ,D0:B5:C2:CD:29:49,3267.1618,SM-T713,04-07-17 17:01
10,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:E3,3346.1707,SM-T713,04-07-17 17:01
11,100,0,3,-80,DragBcon ,D0:B5:C2:CD:2D:BD,3379.2823,SM-T713,04-07-17 17:01
12,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,4266.2699,SM-T713,04-07-17 17:01
13,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,4346.8458,SM-T713,04-07-17 17:01
14,100,0,3,-80,DragBcon ,D0:B5:C2:CD:2D:BD,4384.8628,SM-T713,04-07-17 17:01
15,100,0,3,-62,DragBcon ,D0:B5:C2:CD:29:49,5263.2396,SM-T713,04-07-17 17:01
16,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,5351.2632,SM-T713,04-07-17 17:01
17,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,5393.3484,SM-T713,04-07-17 17:01
18,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,6370.6049,SM-T713,04-07-17 17:01
19,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:BD,6412.4503,SM-T713,04-07-17 17:01
20,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,7409.0309,SM-T713,04-07-17 17:01
21,100,0,3,-71,DragBcon ,D0:B5:C2:CD:29:49,8277.1109,SM-T713,04-07-17 17:01
22,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,8366.6019,SM-T713,04-07-17 17:01
23,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,8420.6031,SM-T713,04-07-17 17:01
24,100,0,3,-75,DragBcon ,D0:B5:C2:CD:29:49,9277.9775,SM-T713,04-07-17 17:01
25,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,9370.7336,SM-T713,04-07-17 17:01
26,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:BD,9424.0359,SM-T713,04-07-17 17:01
27,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,10280.9136,SM-T713,04-07-17 17:01
28,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,10373.7792,SM-T713,04-07-17 17:01
29,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,10424.6071,SM-T713,04-07-17 17:01
30,100,0,3,-62,DragBcon ,D0:B5:C2:CD:29:49,11284.3697,SM-T713,04-07-17 17:01
31,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,11376.817,SM-T713,04-07-17 17:01
32,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:BD,11429.6686,SM-T713,04-07-17 17:01
33,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,12287.8035,SM-T713,04-07-17 17:01
34,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:E3,12377.2924,SM-T713,04-07-17 17:01
35,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,12433.3719,SM-T713,04-07-17 17:01
36,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,13297.6007,SM-T713,04-07-17 17:01
37,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,13381.8881,SM-T713,04-07-17 17:01
38,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,13431.8403,SM-T713,04-07-17 17:01
39,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,14300.8477,SM-T713,04-07-17 17:01
40,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:E3,14391.1232,SM-T713,04-07-17 17:01
41,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,15324.5618,SM-T713,04-07-17 17:01
