id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-65,DragBcon ,D0:B5:C2:CD:29:49,1865.2846,SM-T713,04-07-17 16:57
2,100,0,3,-77,DragBcon ,D0:B5:C2:CD:2D:E3,2558.2199,SM-T713,04-07-17 16:57
3,100,0,3,-63,DragBcon ,D0:B5:C2:CD:2D:BD,2567.2517,SM-T713,04-07-17 16:57
4,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,2861.3991,SM-T713,04-07-17 16:57
5,100,0,3,-76,DragBcon ,D0:B5:C2:CD:2D:E3,3544.7558,SM-T713,04-07-17 16:57
6,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,3560.4009,SM-T713,04-07-17 16:57
7,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,3865.3263,SM-T713,04-07-17 16:57
8,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,4549.9496,SM-T713,04-07-17 16:57
9,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:BD,4594.7473,SM-T713,04-07-17 16:57
10,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,4873.0411,SM-T713,04-07-17 16:57
11,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,5560.9694,SM-T713,04-07-17 16:57
12,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,5597.2143,SM-T713,04-07-17 16:57
13,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,5872.4629,SM-T713,04-07-17 16:57
14,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:E3,6553.7639,SM-T713,04-07-17 16:57
15,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,6607.4346,SM-T713,04-07-17 16:57
16,100,0,3,-61,DragBcon ,D0:B5:C2:CD:29:49,6879.3489,SM-T713,04-07-17 16:57
17,100,0,3,-64,DragBcon ,D0:B5:C2:CD:2D:E3,7566.4936,SM-T713,04-07-17 16:57
18,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,7585.1192,SM-T713,04-07-17 16:57
19,100,0,3,-62,DragBcon ,D0:B5:C2:CD:29:49,7886.6438,SM-T713,04-07-17 16:57
20,100,0,3,-64,DragBcon ,D0:B5:C2:CD:2D:E3,8570.6972,SM-T713,04-07-17 16:57
21,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,8583.5979,SM-T713,04-07-17 16:57
22,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,8894.8754,SM-T713,04-07-17 16:57
23,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:E3,9571.0259,SM-T713,04-07-17 16:57
24,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:BD,9584.6791,SM-T713,04-07-17 16:57
25,100,0,3,-61,DragBcon ,D0:B5:C2:CD:29:49,9906.2359,SM-T713,04-07-17 16:57
26,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,10573.5329,SM-T713,04-07-17 16:57
27,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,10587.124,SM-T713,04-07-17 16:57
28,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,10914.3505,SM-T713,04-07-17 16:57
29,100,0,3,-70,DragBcon ,D0:B5:C2:CD:2D:BD,11599.4404,SM-T713,04-07-17 16:57
30,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,12921.7466,SM-T713,04-07-17 16:57
31,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,13593.1025,SM-T713,04-07-17 16:57
32,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,14606.0635,SM-T713,04-07-17 16:57
33,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,14617.1786,SM-T713,04-07-17 16:57
34,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,15611.9058,SM-T713,04-07-17 16:57
35,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,16624.6964,SM-T713,04-07-17 16:57
36,100,0,3,-63,DragBcon ,D0:B5:C2:CD:29:49,16944.1587,SM-T713,04-07-17 16:57
37,100,0,3,-64,DragBcon ,D0:B5:C2:CD:2D:E3,17623.2843,SM-T713,04-07-17 16:57
38,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:BD,17636.8987,SM-T713,04-07-17 16:57
39,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,17944.8334,SM-T713,04-07-17 16:57
40,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,18630.6707,SM-T713,04-07-17 16:57
41,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,18641.3866,SM-T713,04-07-17 16:57
42,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:E3,19633.782,SM-T713,04-07-17 16:57
43,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,19647.2277,SM-T713,04-07-17 16:57
44,100,0,3,-58,DragBcon ,D0:B5:C2:CD:29:49,19959.0497,SM-T713,04-07-17 16:57
45,100,0,3,-79,DragBcon ,D0:B5:C2:CD:2D:E3,20643.6778,SM-T713,04-07-17 16:57
46,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,20653.3884,SM-T713,04-07-17 16:57
47,100,0,3,-81,DragBcon ,D0:B5:C2:CD:2D:E3,21648.2403,SM-T713,04-07-17 16:57
48,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,21661.4284,SM-T713,04-07-17 16:57
49,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:E3,22660.7233,SM-T713,04-07-17 16:57
50,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:BD,22671.2585,SM-T713,04-07-17 16:57
51,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,23651.0203,SM-T713,04-07-17 16:57
52,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,23663.1321,SM-T713,04-07-17 16:57
53,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,23972.7673,SM-T713,04-07-17 16:57
54,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,24646.3707,SM-T713,04-07-17 16:57
55,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,24688.8164,SM-T713,04-07-17 16:57
56,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,24979.968,SM-T713,04-07-17 16:57
57,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,25660.1951,SM-T713,04-07-17 16:57
58,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,25673.6296,SM-T713,04-07-17 16:57
59,100,0,3,-61,DragBcon ,D0:B5:C2:CD:29:49,25986.904,SM-T713,04-07-17 16:57
60,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,26665.6499,SM-T713,04-07-17 16:57
61,100,0,3,-61,DragBcon ,D0:B5:C2:CD:29:49,26989.2056,SM-T713,04-07-17 16:57
62,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,27666.3365,SM-T713,04-07-17 16:57
63,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,27997.663,SM-T713,04-07-17 16:57
64,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,28675.9748,SM-T713,04-07-17 16:57
65,100,0,3,-60,DragBcon ,D0:B5:C2:CD:29:49,29004.5701,SM-T713,04-07-17 16:57
66,100,0,3,-59,DragBcon ,D0:B5:C2:CD:29:49,30010.4579,SM-T713,04-07-17 16:57
67,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:E3,30680.2537,SM-T713,04-07-17 16:57
68,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:BD,30731.409,SM-T713,04-07-17 16:57
69,100,0,3,-58,DragBcon ,D0:B5:C2:CD:29:49,31013.7587,SM-T713,04-07-17 16:57
