id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-69,DragBcon ,D0:B5:C2:CD:2D:E3,189.6347,SM-T713,04-07-17 16:58
2,100,0,3,-73,DragBcon ,D0:B5:C2:CD:29:49,1883.9209,SM-T713,04-07-17 16:58
3,100,0,3,-70,DragBcon ,D0:B5:C2:CD:29:49,2885.486,SM-T713,04-07-17 16:58
4,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,3833.7158,SM-T713,04-07-17 16:58
5,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,5204.6868,SM-T713,04-07-17 16:58
6,100,0,3,-67,DragBcon ,D0:B5:C2:CD:29:49,5892.8413,SM-T713,04-07-17 16:58
7,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,6222.117,SM-T713,04-07-17 16:58
8,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,6838.4324,SM-T713,04-07-17 16:58
9,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:E3,7222.5485,SM-T713,04-07-17 16:58
10,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,7861.6892,SM-T713,04-07-17 16:58
11,100,0,3,-86,DragBcon ,D0:B5:C2:CD:29:49,7907.922,SM-T713,04-07-17 16:58
12,100,0,3,-68,DragBcon ,D0:B5:C2:CD:29:49,8913.7963,SM-T713,04-07-17 16:58
13,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,9235.4703,SM-T713,04-07-17 16:58
14,100,0,3,-78,DragBcon ,D0:B5:C2:CD:2D:BD,9856.291,SM-T713,04-07-17 16:58
15,100,0,3,-68,DragBcon ,D0:B5:C2:CD:29:49,9907.8625,SM-T713,04-07-17 16:58
16,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:E3,10226.9167,SM-T713,04-07-17 16:58
17,100,0,3,-64,DragBcon ,D0:B5:C2:CD:29:49,10937.6534,SM-T713,04-07-17 16:58
18,100,0,3,-66,DragBcon ,D0:B5:C2:CD:2D:E3,11253.3002,SM-T713,04-07-17 16:58
