id,beaconAdvInt,beaconTxPower,beaconDeployed,beaconRSSI,beaconName,beaconMac,detectionTime,mobileModel,reg_date
1,100,0,3,-76,DragBcon ,D0:B5:C2:CD:29:49,1591.4254,SM-T713,04-07-17 17:00
2,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:BD,2481.5951,SM-T713,04-07-17 17:00
3,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,4900.4425,SM-T713,04-07-17 17:00
4,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:E3,5895.0642,SM-T713,04-07-17 17:00
5,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,6605.0133,SM-T713,04-07-17 17:00
6,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,7611.8355,SM-T713,04-07-17 17:00
7,100,0,3,-71,DragBcon ,D0:B5:C2:CD:29:49,9625.4626,SM-T713,04-07-17 17:00
8,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,14642.3246,SM-T713,04-07-17 17:00
9,100,0,3,-63,DragBcon ,D0:B5:C2:CD:2D:E3,15935.1088,SM-T713,04-07-17 17:00
10,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,26618.3049,SM-T713,04-07-17 17:00
11,100,0,3,-71,DragBcon ,D0:B5:C2:CD:2D:BD,34658.7532,SM-T713,04-07-17 17:00
12,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,35667.9098,SM-T713,04-07-17 17:00
13,100,0,3,-55,DragBcon ,D0:B5:C2:CD:2D:E3,36055.312,SM-T713,04-07-17 17:00
14,100,0,3,-77,DragBcon ,D0:B5:C2:CD:29:49,36757.4272,SM-T713,04-07-17 17:00
15,100,0,3,-70,DragBcon ,D0:B5:C2:CD:29:49,38772.8396,SM-T713,04-07-17 17:00
16,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,43795.1546,SM-T713,04-07-17 17:00
17,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:BD,45704.0755,SM-T713,04-07-17 17:00
18,100,0,3,-80,DragBcon ,D0:B5:C2:CD:2D:BD,47711.451,SM-T713,04-07-17 17:00
19,100,0,3,-55,DragBcon ,D0:B5:C2:CD:2D:E3,55164.7618,SM-T713,04-07-17 17:00
20,100,0,3,-75,DragBcon ,D0:B5:C2:CD:2D:BD,56771.1659,SM-T713,04-07-17 17:00
21,100,0,3,-72,DragBcon ,D0:B5:C2:CD:29:49,56842.2934,SM-T713,04-07-17 17:00
22,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:BD,59796.4553,SM-T713,04-07-17 17:00
23,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,68214.9909,SM-T713,04-07-17 17:00
24,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,68855.3136,SM-T713,04-07-17 17:00
25,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,69870.3998,SM-T713,04-07-17 17:00
26,100,0,3,-73,DragBcon ,D0:B5:C2:CD:2D:BD,71873.6793,SM-T713,04-07-17 17:00
27,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,73882.8446,SM-T713,04-07-17 17:00
28,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,74888.2169,SM-T713,04-07-17 17:00
29,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,74926.6214,SM-T713,04-07-17 17:00
30,100,0,3,-72,DragBcon ,D0:B5:C2:CD:2D:BD,75901.0289,SM-T713,04-07-17 17:00
31,100,0,3,-64,DragBcon ,D0:B5:C2:CD:2D:E3,77260.6349,SM-T713,04-07-17 17:00
32,100,0,3,-68,DragBcon ,D0:B5:C2:CD:2D:BD,77912.2304,SM-T713,04-07-17 17:00
33,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,77952.9479,SM-T713,04-07-17 17:00
34,100,0,3,-74,DragBcon ,D0:B5:C2:CD:2D:BD,86948.3106,SM-T713,04-07-17 17:00
35,100,0,3,-55,DragBcon ,D0:B5:C2:CD:2D:E3,91334.2907,SM-T713,04-07-17 17:00
36,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,95351.9591,SM-T713,04-07-17 17:00
37,100,0,3,-65,DragBcon ,D0:B5:C2:CD:2D:E3,115434.1938,SM-T713,04-07-17 17:00
38,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,116141.0384,SM-T713,04-07-17 17:00
39,100,0,3,-77,DragBcon ,D0:B5:C2:CD:29:49,118150.1734,SM-T713,04-07-17 17:00
40,100,0,3,-68,DragBcon ,D0:B5:C2:CD:29:49,123181.4363,SM-T713,04-07-17 17:00
41,100,0,3,-78,DragBcon ,D0:B5:C2:CD:29:49,126200.9167,SM-T713,04-07-17 17:00
42,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,131228.3133,SM-T713,04-07-17 17:00
43,100,0,3,-60,DragBcon ,D0:B5:C2:CD:2D:E3,133524.2195,SM-T713,04-07-17 17:00
44,100,0,3,-69,DragBcon ,D0:B5:C2:CD:29:49,138252.4719,SM-T713,04-07-17 17:00
45,100,0,3,-67,DragBcon ,D0:B5:C2:CD:2D:BD,140194.8665,SM-T713,04-07-17 17:00
